subject_id,timepoints,raw_rois,raw_rois_match_expected,nan_pct,null_channels_pct,univ_outliers_pct,mv_outliers_count,mv_outliers_pct,mv_analysis_method,mv_skipped_reason,discard_low_tp,discard_high_nan,discard_high_univ,discard_high_mv,discard_mv_skipped,to_discard_overall
002_S_0295,140,170,True,2.353,0.000,0.800,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_0413,140,170,True,2.353,0.000,0.207,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_0685,140,170,True,2.353,0.000,0.211,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_0729,140,170,True,2.353,0.000,0.164,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_1155,197,170,True,2.353,0.000,0.410,15,7.614,MCD,,False,False,False,False,False,False
002_S_2010,140,170,True,2.353,0.000,0.211,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_2043,140,170,True,2.353,0.000,0.293,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_2073,140,170,True,2.353,0.000,0.189,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4171,140,170,True,2.353,0.000,0.280,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4213,140,170,True,2.353,0.000,0.422,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4219,140,170,True,2.353,0.000,0.680,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4229,140,170,True,2.353,0.000,0.232,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4237,140,170,True,2.353,0.000,0.383,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4251,140,170,True,2.353,0.000,0.237,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4262,140,170,True,2.353,0.000,0.095,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4264,140,170,True,2.353,0.000,0.275,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4270,140,170,True,2.353,0.000,0.219,0,0.000,LedoitWolf,,False,False,False,False,False,False
002_S_4473,197,170,True,2.353,0.000,0.239,15,7.614,MCD,,False,False,False,False,False,False
002_S_4654,197,170,True,2.353,0.000,0.183,15,7.614,MCD,,False,False,False,False,False,False
002_S_4799,197,170,True,2.353,0.000,0.315,15,7.614,MCD,,False,False,False,False,False,False
003_S_0908,197,170,True,2.353,0.000,0.122,15,7.614,MCD,,False,False,False,False,False,False
003_S_1074,197,170,True,2.353,0.000,0.872,15,7.614,MCD,,False,False,False,False,False,False
003_S_1122,197,170,True,2.353,0.000,0.505,15,7.614,MCD,,False,False,False,False,False,False
003_S_4354,197,170,True,2.353,0.000,2.767,15,7.614,MCD,,False,False,True,False,False,True
003_S_6258,197,170,True,2.353,0.000,0.116,15,7.614,MCD,,False,False,False,False,False,False
003_S_6264,197,170,True,2.353,0.000,0.501,15,7.614,MCD,,False,False,False,False,False,False
003_S_6268,197,170,True,2.353,0.000,0.535,15,7.614,MCD,,False,False,False,False,False,False
003_S_6432,197,170,True,2.353,0.000,0.226,15,7.614,MCD,,False,False,False,False,False,False
003_S_6606,197,170,True,2.353,0.000,0.685,15,7.614,MCD,,False,False,False,False,False,False
003_S_6678,197,170,True,2.353,0.000,0.257,15,7.614,MCD,,False,False,False,False,False,False
003_S_6833,197,170,True,2.353,0.000,0.214,15,7.614,MCD,,False,False,False,False,False,False
003_S_6954,197,170,True,2.353,0.000,0.284,15,7.614,MCD,,False,False,False,False,False,False
005_S_4185,200,170,True,2.353,0.000,0.639,16,8.000,MCD,,False,False,False,False,False,False
006_S_0498,197,170,True,2.353,0.000,0.135,15,7.614,MCD,,False,False,False,False,False,False
006_S_0731,197,170,True,2.353,0.000,0.128,15,7.614,MCD,,False,False,False,False,False,False
006_S_4150,140,170,True,2.353,0.000,0.250,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4153,140,170,True,2.353,0.000,0.129,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4192,140,170,True,2.353,0.000,0.108,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4346,140,170,True,2.353,0.000,0.637,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4357,140,170,True,2.353,0.000,0.237,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4363,140,170,True,2.353,0.000,0.086,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4449,140,170,True,2.353,0.000,0.443,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4485,140,170,True,2.353,0.000,0.224,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4546,140,170,True,2.353,0.000,0.585,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4679,140,170,True,2.353,0.000,0.185,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4713,140,170,True,2.353,0.000,0.138,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4867,140,170,True,2.353,0.000,0.288,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_4960,140,170,True,2.353,0.000,0.904,0,0.000,LedoitWolf,,False,False,False,False,False,False
006_S_6209,197,170,True,2.353,0.000,0.312,15,7.614,MCD,,False,False,False,False,False,False
006_S_6234,197,170,True,2.353,0.000,0.174,15,7.614,MCD,,False,False,False,False,False,False
006_S_6243,197,170,True,2.353,0.000,0.226,15,7.614,MCD,,False,False,False,False,False,False
006_S_6252,197,170,True,2.353,0.000,0.147,15,7.614,MCD,,False,False,False,False,False,False
006_S_6291,197,170,True,2.353,0.000,0.199,15,7.614,MCD,,False,False,False,False,False,False
006_S_6375,197,170,True,2.353,0.000,0.083,15,7.614,MCD,,False,False,False,False,False,False
006_S_6441,197,170,True,2.353,0.000,0.125,15,7.614,MCD,,False,False,False,False,False,False
006_S_6610,197,170,True,2.353,0.000,0.284,15,7.614,MCD,,False,False,False,False,False,False
006_S_6651,197,170,True,2.353,0.000,0.269,15,7.614,MCD,,False,False,False,False,False,False
006_S_6657,197,170,True,2.353,0.000,0.095,15,7.614,MCD,,False,False,False,False,False,False
006_S_6672,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
006_S_6674,197,170,True,2.353,0.000,1.242,15,7.614,MCD,,False,False,False,False,False,False
006_S_6677,197,170,True,2.353,0.000,0.187,15,7.614,MCD,,False,False,False,False,False,False
006_S_6682,197,170,True,2.353,0.000,0.416,15,7.614,MCD,,False,False,False,False,False,False
006_S_6689,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
006_S_6696,197,170,True,2.353,0.000,0.141,15,7.614,MCD,,False,False,False,False,False,False
006_S_6770,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
010_S_4135,140,170,True,2.353,0.000,0.318,0,0.000,LedoitWolf,,False,False,False,False,False,False
010_S_4442,140,170,True,2.353,0.000,0.508,0,0.000,LedoitWolf,,False,False,False,False,False,False
010_S_5163,140,170,True,2.353,0.000,0.336,0,0.000,LedoitWolf,,False,False,False,False,False,False
011_S_4547,197,170,True,2.353,0.000,0.119,15,7.614,MCD,,False,False,False,False,False,False
011_S_4827,197,170,True,2.353,0.000,1.238,15,7.614,MCD,,False,False,False,False,False,False
011_S_4893,197,170,True,2.353,0.000,0.251,15,7.614,MCD,,False,False,False,False,False,False
011_S_6303,197,170,True,2.353,0.000,0.413,15,7.614,MCD,,False,False,False,False,False,False
011_S_6618,197,170,True,2.353,0.000,0.162,15,7.614,MCD,,False,False,False,False,False,False
012_S_4026,140,170,True,2.353,0.000,0.112,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4094,140,170,True,2.353,0.000,0.314,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4128,140,170,True,2.353,0.000,0.185,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4188,140,170,True,2.353,0.000,0.297,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4643,140,170,True,2.353,0.000,0.232,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4849,140,170,True,2.353,0.000,0.314,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_4987,140,170,True,2.353,0.000,0.189,0,0.000,LedoitWolf,,False,False,False,False,False,False
012_S_6073,197,170,True,2.353,0.000,0.165,15,7.614,MCD,,False,False,False,False,False,False
012_S_6503,197,170,True,2.353,0.000,0.942,15,7.614,MCD,,False,False,False,False,False,False
012_S_6760,197,170,True,2.353,0.000,0.217,15,7.614,MCD,,False,False,False,False,False,False
013_S_1186,140,170,True,2.353,0.000,0.267,0,0.000,LedoitWolf,,False,False,False,False,False,False
